Single Atom,Support,eta_SA (V),eta_Support (V)
Ir,IrO2,0.64,0.64
Ir,MoO2,0.41,1.81
Ir,RuO2,0.61,1.05
Ir,SnO2,0.86,1.66
Ir,TiO2,0.81,0.54
Ir,MnO2,0.52,1.13
Ir,PdO2,0.76,1.09
Mo,IrO2,1.68,0.52
Mo,MoO2,1.66,1.66
Mo,RuO2,1.68,1.09
Mo,SnO2,1.28,1.21
Mo,TiO2,2.15,1.29
Mo,MnO2,1.34,0.53
Mo,PdO2,1.06,1.01
Ru,IrO2,1.1,0.63
Ru,MoO2,0.52,1.95
Ru,RuO2,1.03,1.03
Ru,SnO2,1.5,1.63
Ru,TiO2,1.58,0.39
Ru,MnO2,0.84,0.99
Ru,PdO2,0.87,1.06
Sn,IrO2,1.17,0.7
Sn,MoO2,0.67,2.54
Sn,RuO2,1.19,1.22
Sn,SnO2,1.82,1.82
Sn,TiO2,1.95,1.33
Sn,MnO2,1.98,0.73
Sn,PdO2,1.66,1.11
Ti,IrO2,0.66,0.6
Ti,MoO2,0.88,2.14
Ti,RuO2,0.66,1.15
Ti,SnO2,1.38,1.82
Ti,TiO2,1.42,1.42
Ti,MnO2,0.95,0.64
Ti,PdO2,0.98,1.13
Mn,IrO2,0.88,0.74
Mn,MoO2,0.54,1.8
Mn,RuO2,1.02,1.05
Mn,SnO2,1.26,1.77
Mn,TiO2,1.46,1.09
Mn,MnO2,0.96,0.96
Mn,PdO2,0.97,1.15
V,IrO2,0.91,0.49
V,MoO2,1.47,1.86
V,RuO2,1.56,1.12
V,SnO2,0.88,1.7
V,TiO2,0.89,1.17
V,MnO2,1.11,0.75
V,PdO2,0.93,1.03
Re,IrO2,1.79,0.53
Re,MoO2,1.3,1.61
Re,RuO2,1.64,1.05
Re,SnO2,1.8,1.18
Re,TiO2,2.33,1.51
Re,MnO2,1.21,0.5
Re,PdO2,1.11,0.97
Pt,IrO2,0.8,0.63
Pt,MoO2,0.72,1.91
Pt,RuO2,0.84,1.05
Pt,SnO2,0.85,1.75
Pt,TiO2,0.88,1.07
Pt,MnO2,1.09,1.32
Pt,PdO2,0.8,1.16
Nb,IrO2,1.4,0.49
Nb,MoO2,1.72,1.74
Nb,RuO2,1.64,1.05
Nb,SnO2,0.38,1.7
Nb,TiO2,0.67,0.93
Nb,MnO2,1.28,1.02
Nb,PdO2,0.51,1.05
Au,IrO2,1.02,0.7
Au,MoO2,2.88,1.85
Au,RuO2,1.05,1.11
Au,SnO2,1.29,1.79
Au,TiO2,1.37,1.56
Au,MnO2,1.39,1.77
Au,PdO2,1.29,1.18
