      #Energy        PDOS
     -20.19974       0.00000
     -20.19074       0.00000
     -20.18074       0.00000
     -20.17074       0.00000
     -20.16174       0.00000
     -20.15174       0.00000
     -20.14174       0.00000
     -20.13174       0.00000
     -20.12274       0.00000
     -20.11274       0.00000
     -20.10274       0.00000
     -20.09374       0.00000
     -20.08374       0.00000
     -20.07374       0.00000
     -20.06374       0.00000
     -20.05474       0.00000
     -20.04474       0.00000
     -20.03474       0.00000
     -20.02574       0.00000
     -20.01574       0.00000
     -20.00574       0.00000
     -19.99674       0.00000
     -19.98674       0.00000
     -19.97674       0.00000
     -19.96674       0.00000
     -19.95774       0.00000
     -19.94774       0.00000
     -19.93774       0.00000
     -19.92874       0.00000
     -19.91874       0.00000
     -19.90874       0.00000
     -19.89874       0.00000
     -19.88974       0.00000
     -19.87974       0.00000
     -19.86974       0.00000
     -19.86074       0.00000
     -19.85074       0.00000
     -19.84074       0.00000
     -19.83074       0.00000
     -19.82174       0.00000
     -19.81174       0.00000
     -19.80174       0.00000
     -19.79274       0.00000
     -19.78274       0.00000
     -19.77274       0.00000
     -19.76274       0.00000
     -19.75374       0.00000
     -19.74374       0.00000
     -19.73374       0.00000
     -19.72474       0.00000
     -19.71474       0.00000
     -19.70474       0.00000
     -19.69474       0.00000
     -19.68574       0.00000
     -19.67574       0.00000
     -19.66574       0.00000
     -19.65674       0.00000
     -19.64674       0.00000
     -19.63674       0.00000
     -19.62674       0.00000
     -19.61774       0.00000
     -19.60774       0.00000
     -19.59774       0.00000
     -19.58874       0.00000
     -19.57874       0.00000
     -19.56874       0.00000
     -19.55874       0.00000
     -19.54974       0.00000
     -19.53974       0.00000
     -19.52974       0.00000
     -19.52074       0.00000
     -19.51074       0.00000
     -19.50074       0.00000
     -19.49074       0.00000
     -19.48174       0.00000
     -19.47174       0.00000
     -19.46174       0.00000
     -19.45274       0.00000
     -19.44274       0.00000
     -19.43274       0.00000
     -19.42274       0.00000
     -19.41374       0.00000
     -19.40374       0.00000
     -19.39374       0.00000
     -19.38474       0.00000
     -19.37474       0.00000
     -19.36474       0.00000
     -19.35474       0.00000
     -19.34574       0.00000
     -19.33574       0.00000
     -19.32574       0.00000
     -19.31674       0.00000
     -19.30674       0.00000
     -19.29674       0.00000
     -19.28674       0.00000
     -19.27774       0.00000
     -19.26774       0.00000
     -19.25774       0.00000
     -19.24874       0.00000
     -19.23874       0.00000
     -19.22874       0.00000
     -19.21874       0.00000
     -19.20974       0.00000
     -19.19974       0.00000
     -19.18974       0.00000
     -19.18074       0.00000
     -19.17074       0.00000
     -19.16074       0.00000
     -19.15074       0.00000
     -19.14174       0.00000
     -19.13174       0.00000
     -19.12174       0.00000
     -19.11274       0.00000
     -19.10274       0.00000
     -19.09274       0.00000
     -19.08274       0.00000
     -19.07374       0.00000
     -19.06374       0.00000
     -19.05374       0.00000
     -19.04474       0.00000
     -19.03474       0.00000
     -19.02474       0.00000
     -19.01474       0.00000
     -19.00574       0.00000
     -18.99574       0.00000
     -18.98574       0.00000
     -18.97674       0.00001
     -18.96674       0.00001
     -18.95674       0.00001
     -18.94674       0.00001
     -18.93774       0.00001
     -18.92774       0.00001
     -18.91774       0.00001
     -18.90874       0.00002
     -18.89874       0.00002
     -18.88874       0.00002
     -18.87874       0.00002
     -18.86974       0.00002
     -18.85974       0.00002
     -18.84974       0.00002
     -18.84074       0.00002
     -18.83074       0.00002
     -18.82074       0.00002
     -18.81074       0.00001
     -18.80174       0.00001
     -18.79174       0.00001
     -18.78174       0.00001
     -18.77274       0.00001
     -18.76274       0.00001
     -18.75274       0.00001
     -18.74274       0.00001
     -18.73374       0.00000
     -18.72374       0.00000
     -18.71374       0.00000
     -18.70474       0.00000
     -18.69474       0.00001
     -18.68474       0.00001
     -18.67474       0.00001
     -18.66574       0.00001
     -18.65574       0.00001
     -18.64574       0.00001
     -18.63674       0.00002
     -18.62674       0.00002
     -18.61674       0.00002
     -18.60674       0.00003
     -18.59774       0.00003
     -18.58774       0.00003
     -18.57774       0.00004
     -18.56874       0.00004
     -18.55874       0.00005
     -18.54874       0.00005
     -18.53874       0.00005
     -18.52974       0.00006
     -18.51974       0.00007
     -18.50974       0.00007
     -18.50074       0.00008
     -18.49074       0.00009
     -18.48074       0.00010
     -18.47074       0.00011
     -18.46174       0.00012
     -18.45174       0.00014
     -18.44174       0.00015
     -18.43274       0.00016
     -18.42274       0.00018
     -18.41274       0.00019
     -18.40274       0.00021
     -18.39374       0.00022
     -18.38374       0.00023
     -18.37374       0.00023
     -18.36474       0.00024
     -18.35474       0.00024
     -18.34474       0.00024
     -18.33474       0.00023
     -18.32574       0.00022
     -18.31574       0.00021
     -18.30574       0.00020
     -18.29674       0.00019
     -18.28674       0.00017
     -18.27674       0.00016
     -18.26674       0.00014
     -18.25774       0.00013
     -18.24774       0.00012
     -18.23774       0.00011
     -18.22874       0.00011
     -18.21874       0.00010
     -18.20874       0.00010
     -18.19874       0.00011
     -18.18974       0.00012
     -18.17974       0.00013
     -18.16974       0.00014
     -18.16074       0.00016
     -18.15074       0.00018
     -18.14074       0.00020
     -18.13074       0.00023
     -18.12174       0.00026
     -18.11174       0.00029
     -18.10174       0.00032
     -18.09274       0.00035
     -18.08274       0.00038
     -18.07274       0.00041
     -18.06274       0.00044
     -18.05374       0.00046
     -18.04374       0.00048
     -18.03374       0.00051
     -18.02474       0.00053
     -18.01474       0.00054
     -18.00474       0.00056
     -17.99474       0.00057
     -17.98574       0.00058
     -17.97574       0.00059
     -17.96574       0.00060
     -17.95674       0.00060
     -17.94674       0.00061
     -17.93674       0.00061
     -17.92674       0.00062
     -17.91774       0.00062
     -17.90774       0.00063
     -17.89774       0.00063
     -17.88874       0.00064
     -17.87874       0.00065
     -17.86874       0.00066
     -17.85874       0.00067
     -17.84974       0.00068
     -17.83974       0.00069
     -17.82974       0.00071
     -17.82074       0.00072
     -17.81074       0.00073
     -17.80074       0.00074
     -17.79074       0.00075
     -17.78174       0.00076
     -17.77174       0.00077
     -17.76174       0.00077
     -17.75274       0.00077
     -17.74274       0.00077
     -17.73274       0.00077
     -17.72274       0.00076
     -17.71374       0.00076
     -17.70374       0.00076
     -17.69374       0.00075
     -17.68474       0.00075
     -17.67474       0.00075
     -17.66474       0.00074
     -17.65474       0.00075
     -17.64574       0.00075
     -17.63574       0.00076
     -17.62574       0.00076
     -17.61674       0.00078
     -17.60674       0.00079
     -17.59674       0.00081
     -17.58674       0.00082
     -17.57774       0.00084
     -17.56774       0.00086
     -17.55774       0.00088
     -17.54874       0.00091
     -17.53874       0.00093
     -17.52874       0.00096
     -17.51874       0.00098
     -17.50974       0.00101
     -17.49974       0.00105
     -17.48974       0.00108
     -17.48074       0.00113
     -17.47074       0.00118
     -17.46074       0.00124
     -17.45074       0.00131
     -17.44174       0.00138
     -17.43174       0.00147
     -17.42174       0.00156
     -17.41274       0.00165
     -17.40274       0.00175
     -17.39274       0.00186
     -17.38274       0.00196
     -17.37374       0.00206
     -17.36374       0.00215
     -17.35374       0.00224
     -17.34474       0.00232
     -17.33474       0.00238
     -17.32474       0.00244
     -17.31474       0.00248
     -17.30574       0.00251
     -17.29574       0.00252
     -17.28574       0.00251
     -17.27674       0.00249
     -17.26674       0.00245
     -17.25674       0.00239
     -17.24674       0.00232
     -17.23774       0.00224
     -17.22774       0.00214
     -17.21774       0.00204
     -17.20874       0.00193
     -17.19874       0.00181
     -17.18874       0.00169
     -17.17874       0.00158
     -17.16974       0.00147
     -17.15974       0.00137
     -17.14974       0.00128
     -17.14074       0.00120
     -17.13074       0.00115
     -17.12074       0.00112
     -17.11074       0.00112
     -17.10174       0.00115
     -17.09174       0.00121
     -17.08174       0.00131
     -17.07274       0.00145
     -17.06274       0.00162
     -17.05274       0.00183
     -17.04274       0.00207
     -17.03374       0.00235
     -17.02374       0.00266
     -17.01374       0.00299
     -17.00474       0.00335
     -16.99474       0.00372
     -16.98474       0.00409
     -16.97474       0.00447
     -16.96574       0.00485
     -16.95574       0.00521
     -16.94574       0.00556
     -16.93674       0.00588
     -16.92674       0.00618
     -16.91674       0.00645
     -16.90674       0.00668
     -16.89774       0.00686
     -16.88774       0.00701
     -16.87774       0.00710
     -16.86874       0.00714
     -16.85874       0.00714
     -16.84874       0.00708
     -16.83874       0.00697
     -16.82974       0.00682
     -16.81974       0.00662
     -16.80974       0.00638
     -16.80074       0.00611
     -16.79074       0.00581
     -16.78074       0.00549
     -16.77074       0.00515
     -16.76174       0.00479
