      #Energy        PDOS
     -20.19974       0.00000
     -20.19074       0.00000
     -20.18074       0.00000
     -20.17074       0.00000
     -20.16174       0.00000
     -20.15174       0.00000
     -20.14174       0.00000
     -20.13174       0.00000
     -20.12274       0.00000
     -20.11274       0.00000
     -20.10274       0.00000
     -20.09374       0.00000
     -20.08374       0.00000
     -20.07374       0.00000
     -20.06374       0.00000
     -20.05474       0.00000
     -20.04474       0.00000
     -20.03474       0.00000
     -20.02574       0.00000
     -20.01574       0.00000
     -20.00574       0.00000
     -19.99674       0.00000
     -19.98674       0.00000
     -19.97674       0.00000
     -19.96674       0.00000
     -19.95774       0.00000
     -19.94774       0.00000
     -19.93774       0.00000
     -19.92874       0.00000
     -19.91874       0.00000
     -19.90874       0.00000
     -19.89874       0.00000
     -19.88974       0.00000
     -19.87974       0.00000
     -19.86974       0.00000
     -19.86074       0.00000
     -19.85074       0.00000
     -19.84074       0.00000
     -19.83074       0.00000
     -19.82174       0.00000
     -19.81174       0.00000
     -19.80174       0.00000
     -19.79274       0.00000
     -19.78274       0.00000
     -19.77274       0.00000
     -19.76274       0.00000
     -19.75374       0.00000
     -19.74374       0.00000
     -19.73374       0.00000
     -19.72474       0.00000
     -19.71474       0.00000
     -19.70474       0.00000
     -19.69474       0.00000
     -19.68574       0.00000
     -19.67574       0.00000
     -19.66574       0.00000
     -19.65674       0.00000
     -19.64674       0.00000
     -19.63674       0.00000
     -19.62674       0.00000
     -19.61774       0.00000
     -19.60774       0.00000
     -19.59774       0.00000
     -19.58874       0.00000
     -19.57874       0.00000
     -19.56874       0.00000
     -19.55874       0.00000
     -19.54974       0.00000
     -19.53974       0.00000
     -19.52974       0.00000
     -19.52074       0.00000
     -19.51074       0.00000
     -19.50074       0.00000
     -19.49074       0.00000
     -19.48174       0.00000
     -19.47174       0.00000
     -19.46174       0.00000
     -19.45274       0.00000
     -19.44274       0.00000
     -19.43274       0.00000
     -19.42274       0.00000
     -19.41374       0.00000
     -19.40374       0.00000
     -19.39374       0.00000
     -19.38474       0.00000
     -19.37474       0.00000
     -19.36474       0.00000
     -19.35474       0.00000
     -19.34574       0.00000
     -19.33574       0.00000
     -19.32574       0.00000
     -19.31674       0.00000
     -19.30674       0.00000
     -19.29674       0.00000
     -19.28674       0.00000
     -19.27774       0.00000
     -19.26774       0.00000
     -19.25774       0.00000
     -19.24874       0.00000
     -19.23874       0.00000
     -19.22874       0.00000
     -19.21874       0.00000
     -19.20974       0.00000
     -19.19974       0.00000
     -19.18974       0.00000
     -19.18074       0.00000
     -19.17074       0.00000
     -19.16074       0.00000
     -19.15074       0.00000
     -19.14174       0.00000
     -19.13174       0.00000
     -19.12174       0.00000
     -19.11274       0.00000
     -19.10274       0.00001
     -19.09274       0.00001
     -19.08274       0.00002
     -19.07374       0.00002
     -19.06374       0.00003
     -19.05374       0.00005
     -19.04474       0.00007
     -19.03474       0.00010
     -19.02474       0.00014
     -19.01474       0.00019
     -19.00574       0.00025
     -18.99574       0.00032
     -18.98574       0.00041
     -18.97674       0.00051
     -18.96674       0.00063
     -18.95674       0.00075
     -18.94674       0.00089
     -18.93774       0.00104
     -18.92774       0.00118
     -18.91774       0.00132
     -18.90874       0.00145
     -18.89874       0.00156
     -18.88874       0.00165
     -18.87874       0.00171
     -18.86974       0.00174
     -18.85974       0.00174
     -18.84974       0.00171
     -18.84074       0.00164
     -18.83074       0.00155
     -18.82074       0.00144
     -18.81074       0.00131
     -18.80174       0.00117
     -18.79174       0.00102
     -18.78174       0.00088
     -18.77274       0.00075
     -18.76274       0.00063
     -18.75274       0.00052
     -18.74274       0.00043
     -18.73374       0.00036
     -18.72374       0.00031
     -18.71374       0.00028
     -18.70474       0.00028
     -18.69474       0.00030
     -18.68474       0.00035
     -18.67474       0.00044
     -18.66574       0.00057
     -18.65574       0.00075
     -18.64574       0.00099
     -18.63674       0.00130
     -18.62674       0.00168
     -18.61674       0.00216
     -18.60674       0.00274
     -18.59774       0.00345
     -18.58774       0.00428
     -18.57774       0.00527
     -18.56874       0.00641
     -18.55874       0.00773
     -18.54874       0.00925
     -18.53874       0.01096
     -18.52974       0.01290
     -18.51974       0.01508
     -18.50974       0.01751
     -18.50074       0.02023
     -18.49074       0.02325
     -18.48074       0.02658
     -18.47074       0.03025
     -18.46174       0.03426
     -18.45174       0.03858
     -18.44174       0.04320
     -18.43274       0.04807
     -18.42274       0.05312
     -18.41274       0.05826
     -18.40274       0.06339
     -18.39374       0.06841
     -18.38374       0.07320
     -18.37374       0.07765
     -18.36474       0.08166
     -18.35474       0.08516
     -18.34474       0.08810
     -18.33474       0.09046
     -18.32574       0.09222
     -18.31574       0.09338
     -18.30574       0.09398
     -18.29674       0.09403
     -18.28674       0.09356
     -18.27674       0.09258
     -18.26674       0.09112
     -18.25774       0.08920
     -18.24774       0.08681
     -18.23774       0.08400
     -18.22874       0.08081
     -18.21874       0.07731
     -18.20874       0.07361
     -18.19874       0.06979
     -18.18974       0.06601
     -18.17974       0.06244
     -18.16974       0.05923
     -18.16074       0.05658
     -18.15074       0.05464
     -18.14074       0.05357
     -18.13074       0.05351
     -18.12174       0.05458
     -18.11174       0.05683
     -18.10174       0.06034
     -18.09274       0.06510
     -18.08274       0.07110
     -18.07274       0.07827
     -18.06274       0.08651
     -18.05374       0.09569
     -18.04374       0.10560
     -18.03374       0.11604
     -18.02474       0.12673
     -18.01474       0.13756
     -18.00474       0.14809
     -17.99474       0.15805
     -17.98574       0.16743
     -17.97574       0.17603
     -17.96574       0.18364
     -17.95674       0.19043
     -17.94674       0.19663
     -17.93674       0.20222
     -17.92674       0.20766
     -17.91774       0.21333
     -17.90774       0.21946
     -17.89774       0.22642
     -17.88874       0.23446
     -17.87874       0.24383
     -17.86874       0.25445
     -17.85874       0.26628
     -17.84974       0.27879
     -17.83974       0.29188
     -17.82974       0.30471
     -17.82074       0.31676
     -17.81074       0.32720
     -17.80074       0.33572
     -17.79074       0.34138
     -17.78174       0.34417
     -17.77174       0.34356
     -17.76174       0.33973
     -17.75274       0.33279
     -17.74274       0.32311
     -17.73274       0.31129
     -17.72274       0.29775
     -17.71374       0.28328
     -17.70374       0.26872
     -17.69374       0.25477
     -17.68474       0.24192
     -17.67474       0.23073
     -17.66474       0.22163
     -17.65474       0.21487
     -17.64574       0.21060
     -17.63574       0.20875
     -17.62574       0.20916
     -17.61674       0.21166
     -17.60674       0.21573
     -17.59674       0.22115
     -17.58674       0.22720
     -17.57774       0.23350
     -17.56774       0.23953
     -17.55774       0.24490
     -17.54874       0.24913
     -17.53874       0.25193
     -17.52874       0.25317
     -17.51874       0.25282
     -17.50974       0.25096
     -17.49974       0.24759
     -17.48974       0.24324
     -17.48074       0.23820
     -17.47074       0.23280
     -17.46074       0.22744
     -17.45074       0.22255
     -17.44174       0.21853
     -17.43174       0.21550
     -17.42174       0.21372
     -17.41274       0.21324
     -17.40274       0.21393
     -17.39274       0.21585
     -17.38274       0.21860
     -17.37374       0.22199
     -17.36374       0.22569
     -17.35374       0.22913
     -17.34474       0.23222
     -17.33474       0.23447
     -17.32474       0.23562
     -17.31474       0.23535
     -17.30574       0.23352
     -17.29574       0.23018
     -17.28574       0.22520
     -17.27674       0.21864
     -17.26674       0.21077
     -17.25674       0.20167
     -17.24674       0.19162
     -17.23774       0.18090
     -17.22774       0.16983
     -17.21774       0.15848
     -17.20874       0.14715
     -17.19874       0.13616
     -17.18874       0.12540
     -17.17874       0.11526
     -17.16974       0.10550
     -17.15974       0.09632
     -17.14974       0.08769
     -17.14074       0.07958
     -17.13074       0.07198
     -17.12074       0.06486
     -17.11074       0.05821
     -17.10174       0.05201
     -17.09174       0.04627
     -17.08174       0.04100
     -17.07274       0.03621
     -17.06274       0.03192
     -17.05274       0.02813
     -17.04274       0.02486
     -17.03374       0.02210
     -17.02374       0.01984
     -17.01374       0.01806
     -17.00474       0.01672
     -16.99474       0.01580
     -16.98474       0.01523
     -16.97474       0.01497
     -16.96574       0.01496
     -16.95574       0.01517
     -16.94574       0.01553
     -16.93674       0.01600
     -16.92674       0.01654
     -16.91674       0.01711
     -16.90674       0.01769
     -16.89774       0.01822
     -16.88774       0.01871
     -16.87774       0.01911
     -16.86874       0.01943
     -16.85874       0.01963
     -16.84874       0.01971
     -16.83874       0.01966
     -16.82974       0.01948
     -16.81974       0.01917
     -16.80974       0.01873
     -16.80074       0.01817
     -16.79074       0.01749
     -16.78074       0.01672
     -16.77074       0.01587
     -16.76174       0.01495
