      #Energy        PDOS
     -20.03693       0.00000
     -20.02693       0.00000
     -20.01593       0.00000
     -20.00593       0.00000
     -19.99593       0.00000
     -19.98593       0.00000
     -19.97593       0.00000
     -19.96593       0.00000
     -19.95493       0.00000
     -19.94493       0.00000
     -19.93493       0.00000
     -19.92493       0.00000
     -19.91493       0.00000
     -19.90493       0.00000
     -19.89393       0.00000
     -19.88393       0.00000
     -19.87393       0.00000
     -19.86393       0.00000
     -19.85393       0.00000
     -19.84393       0.00000
     -19.83293       0.00000
     -19.82293       0.00000
     -19.81293       0.00000
     -19.80293       0.00000
     -19.79293       0.00000
     -19.78193       0.00000
     -19.77193       0.00000
     -19.76193       0.00000
     -19.75193       0.00000
     -19.74193       0.00000
     -19.73193       0.00000
     -19.72093       0.00000
     -19.71093       0.00000
     -19.70093       0.00000
     -19.69093       0.00000
     -19.68093       0.00000
     -19.67093       0.00000
     -19.65993       0.00000
     -19.64993       0.00000
     -19.63993       0.00000
     -19.62993       0.00000
     -19.61993       0.00000
     -19.60993       0.00000
     -19.59893       0.00000
     -19.58893       0.00000
     -19.57893       0.00000
     -19.56893       0.00000
     -19.55893       0.00000
     -19.54893       0.00000
     -19.53793       0.00000
     -19.52793       0.00000
     -19.51793       0.00000
     -19.50793       0.00000
     -19.49793       0.00000
     -19.48793       0.00000
     -19.47693       0.00000
     -19.46693       0.00000
     -19.45693       0.00000
     -19.44693       0.00000
     -19.43693       0.00000
     -19.42693       0.00000
     -19.41593       0.00000
     -19.40593       0.00000
     -19.39593       0.00000
     -19.38593       0.00000
     -19.37593       0.00000
     -19.36493       0.00000
     -19.35493       0.00000
     -19.34493       0.00000
     -19.33493       0.00000
     -19.32493       0.00000
     -19.31493       0.00000
     -19.30393       0.00000
     -19.29393       0.00000
     -19.28393       0.00000
     -19.27393       0.00000
     -19.26393       0.00000
     -19.25393       0.00000
     -19.24293       0.00000
     -19.23293       0.00000
     -19.22293       0.00000
     -19.21293       0.00000
     -19.20293       0.00000
     -19.19293       0.00000
     -19.18193       0.00000
     -19.17193       0.00000
     -19.16193       0.00000
     -19.15193       0.00000
     -19.14193       0.00000
     -19.13193       0.00000
     -19.12093       0.00000
     -19.11093       0.00000
     -19.10093       0.00000
     -19.09093       0.00000
     -19.08093       0.00000
     -19.07093       0.00000
     -19.05993       0.00000
     -19.04993       0.00000
     -19.03993       0.00000
     -19.02993       0.00000
     -19.01993       0.00000
     -19.00893       0.00000
     -18.99893       0.00000
     -18.98893       0.00000
     -18.97893       0.00000
     -18.96893       0.00000
     -18.95893       0.00000
     -18.94793       0.00000
     -18.93793       0.00000
     -18.92793       0.00000
     -18.91793       0.00000
     -18.90793       0.00000
     -18.89793       0.00000
     -18.88693       0.00000
     -18.87693       0.00000
     -18.86693       0.00001
     -18.85693       0.00001
     -18.84693       0.00002
     -18.83693       0.00003
     -18.82593       0.00005
     -18.81593       0.00007
     -18.80593       0.00011
     -18.79593       0.00016
     -18.78593       0.00023
     -18.77593       0.00032
     -18.76493       0.00045
     -18.75493       0.00061
     -18.74493       0.00081
     -18.73493       0.00107
     -18.72493       0.00138
     -18.71493       0.00176
     -18.70393       0.00220
     -18.69393       0.00272
     -18.68393       0.00331
     -18.67393       0.00398
     -18.66393       0.00471
     -18.65393       0.00550
     -18.64293       0.00635
     -18.63293       0.00723
     -18.62293       0.00813
     -18.61293       0.00903
     -18.60293       0.00992
     -18.59193       0.01078
     -18.58193       0.01159
     -18.57193       0.01234
     -18.56193       0.01300
     -18.55193       0.01359
     -18.54193       0.01407
     -18.53093       0.01446
     -18.52093       0.01475
     -18.51093       0.01495
     -18.50093       0.01507
     -18.49093       0.01513
     -18.48093       0.01512
     -18.46993       0.01507
     -18.45993       0.01498
     -18.44993       0.01488
     -18.43993       0.01478
     -18.42993       0.01470
     -18.41993       0.01462
     -18.40893       0.01457
     -18.39893       0.01454
     -18.38893       0.01455
     -18.37893       0.01459
     -18.36893       0.01469
     -18.35893       0.01482
     -18.34793       0.01501
     -18.33793       0.01527
     -18.32793       0.01560
     -18.31793       0.01603
     -18.30793       0.01658
     -18.29793       0.01725
     -18.28693       0.01809
     -18.27693       0.01911
     -18.26693       0.02033
     -18.25693       0.02178
     -18.24693       0.02347
     -18.23693       0.02544
     -18.22593       0.02768
     -18.21593       0.03020
     -18.20593       0.03302
     -18.19593       0.03614
     -18.18593       0.03953
     -18.17493       0.04320
     -18.16493       0.04715
     -18.15493       0.05136
     -18.14493       0.05585
     -18.13493       0.06060
     -18.12493       0.06564
     -18.11393       0.07094
     -18.10393       0.07655
     -18.09393       0.08246
     -18.08393       0.08869
     -18.07393       0.09521
     -18.06393       0.10203
     -18.05293       0.10916
     -18.04293       0.11655
     -18.03293       0.12412
     -18.02293       0.13192
     -18.01293       0.13975
     -18.00293       0.14751
     -17.99193       0.15511
     -17.98193       0.16246
     -17.97193       0.16926
     -17.96193       0.17543
     -17.95193       0.18078
     -17.94193       0.18500
     -17.93093       0.18802
     -17.92093       0.18975
     -17.91093       0.19008
     -17.90093       0.18901
     -17.89093       0.18665
     -17.88093       0.18309
     -17.86993       0.17855
     -17.85993       0.17331
     -17.84993       0.16768
     -17.83993       0.16186
     -17.82993       0.15625
     -17.81993       0.15107
     -17.80893       0.14672
     -17.79893       0.14320
     -17.78893       0.14083
     -17.77893       0.13972
     -17.76893       0.13968
     -17.75793       0.14091
     -17.74793       0.14302
     -17.73793       0.14612
     -17.72793       0.14981
     -17.71793       0.15389
     -17.70793       0.15808
     -17.69693       0.16217
     -17.68693       0.16588
     -17.67693       0.16902
     -17.66693       0.17142
     -17.65693       0.17313
     -17.64693       0.17399
     -17.63593       0.17408
     -17.62593       0.17369
     -17.61593       0.17284
     -17.60593       0.17207
     -17.59593       0.17154
     -17.58593       0.17161
     -17.57493       0.17277
     -17.56493       0.17510
     -17.55493       0.17904
     -17.54493       0.18473
     -17.53493       0.19235
     -17.52493       0.20186
     -17.51393       0.21330
     -17.50393       0.22642
     -17.49393       0.24123
     -17.48393       0.25726
     -17.47393       0.27438
     -17.46393       0.29227
     -17.45293       0.31063
     -17.44293       0.32938
     -17.43293       0.34823
     -17.42293       0.36703
     -17.41293       0.38554
     -17.40193       0.40372
     -17.39193       0.42128
     -17.38193       0.43778
     -17.37193       0.45291
     -17.36193       0.46618
     -17.35193       0.47697
     -17.34093       0.48464
     -17.33093       0.48879
     -17.32093       0.48877
     -17.31093       0.48437
     -17.30093       0.47534
     -17.29093       0.46179
     -17.27993       0.44390
     -17.26993       0.42217
     -17.25993       0.39731
     -17.24993       0.37004
     -17.23993       0.34104
     -17.22993       0.31122
     -17.21893       0.28139
     -17.20893       0.25205
     -17.19893       0.22399
     -17.18893       0.19740
     -17.17893       0.17277
     -17.16893       0.15019
     -17.15793       0.12967
     -17.14793       0.11135
     -17.13793       0.09508
     -17.12793       0.08077
     -17.11793       0.06829
     -17.10793       0.05752
     -17.09693       0.04829
     -17.08693       0.04049
     -17.07693       0.03396
     -17.06693       0.02860
     -17.05693       0.02427
     -17.04693       0.02087
     -17.03593       0.01829
     -17.02593       0.01643
     -17.01593       0.01519
     -17.00593       0.01449
     -16.99593       0.01424
     -16.98493       0.01437
     -16.97493       0.01480
     -16.96493       0.01546
     -16.95493       0.01629
     -16.94493       0.01723
     -16.93493       0.01824
     -16.92393       0.01924
     -16.91393       0.02022
     -16.90393       0.02113
     -16.89393       0.02192
     -16.88393       0.02258
     -16.87393       0.02307
     -16.86293       0.02338
     -16.85293       0.02350
     -16.84293       0.02343
     -16.83293       0.02315
     -16.82293       0.02269
     -16.81293       0.02205
     -16.80193       0.02124
     -16.79193       0.02030
     -16.78193       0.01923
     -16.77193       0.01806
     -16.76193       0.01683
     -16.75193       0.01553
     -16.74093       0.01422
     -16.73093       0.01289
     -16.72093       0.01159
     -16.71093       0.01032
     -16.70093       0.00910
     -16.69093       0.00794
     -16.67993       0.00686
     -16.66993       0.00585
     -16.65993       0.00494
     -16.64993       0.00412
     -16.63993       0.00339
     -16.62993       0.00276
     -16.61893       0.00221
     -16.60893       0.00175
     -16.59893       0.00136
     -16.58893       0.00104
     -16.57893       0.00079
     -16.56793       0.00059
     -16.55793       0.00044
     -16.54793       0.00032
     -16.53793       0.00024
     -16.52793       0.00018
     -16.51793       0.00015
     -16.50693       0.00015
     -16.49693       0.00016
     -16.48693       0.00020
     -16.47693       0.00026
     -16.46693       0.00036
     -16.45693       0.00048
     -16.44593       0.00065
     -16.43593       0.00086
     -16.42593       0.00112
     -16.41593       0.00143
     -16.40593       0.00179
     -16.39593       0.00220
     -16.38493       0.00265
     -16.37493       0.00312
     -16.36493       0.00360
     -16.35493       0.00408
     -16.34493       0.00454
     -16.33493       0.00494
     -16.32393       0.00527
     -16.31393       0.00552
     -16.30393       0.00566
     -16.29393       0.00570
     -16.28393       0.00562
     -16.27393       0.00543
     -16.26293       0.00515
     -16.25293       0.00479
     -16.24293       0.00436
     -16.23293       0.00390
     -16.22293       0.00342
     -16.21193       0.00294
     -16.20193       0.00247
     -16.19193       0.00205
     -16.18193       0.00166
     -16.17193       0.00132
     -16.16193       0.00103
     -16.15093       0.00078
     -16.14093       0.00059
     -16.13093       0.00043
     -16.12093       0.00031
     -16.11093       0.00022
     -16.10093       0.00015
     -16.08993       0.00010
     -16.07993       0.00007
     -16.06993       0.00004
     -16.05993       0.00003
     -16.04993       0.00002
     -16.03993       0.00001
     -16.02893       0.00001
     -16.01893       0.00000
     -16.00893       0.00000
     -15.99893       0.00000
     -15.98893       0.00000
     -15.97893       0.00000
     -15.96793       0.00000
     -15.95793       0.00000
     -15.94793       0.00000
     -15.93793       0.00000
     -15.92793       0.00000
     -15.91793       0.00000
     -15.90693       0.00000
     -15.89693       0.00000
     -15.88693       0.00000
     -15.87693       0.00000
     -15.86693       0.00000
     -15.85693       0.00000
     -15.84593       0.00000
     -15.83593       0.00000
     -15.82593       0.00000
     -15.81593       0.00000
     -15.80593       0.00000
     -15.79493       0.00000
     -15.78493       0.00000
     -15.77493       0.00000
     -15.76493       0.00000
     -15.75493       0.00000
     -15.74493       0.00000
     -15.73393       0.00000
     -15.72393       0.00000
     -15.71393       0.00000
     -15.70393       0.00000
     -15.69393       0.00000
     -15.68393       0.00000
     -15.67293       0.00000
     -15.66293       0.00000
     -15.65293       0.00000
     -15.64293       0.00000
     -15.63293       0.00000
     -15.62293       0.00000
     -15.61193       0.00000
     -15.60193       0.00000
     -15.59193       0.00000
     -15.58193       0.00000
     -15.57193       0.00000
     -15.56193       0.00000
     -15.55093       0.00000
     -15.54093       0.00000
     -15.53093       0.00000
     -15.52093       0.00000
     -15.51093       0.00000
     -15.50093       0.00000
     -15.48993       0.00000
     -15.47993       0.00000
     -15.46993       0.00000
     -15.45993       0.00000
     -15.44993       0.00000
     -15.43993       0.00000
     -15.42893       0.00000
     -15.41893       0.00000
     -15.40893       0.00000
     -15.39893       0.00000
     -15.38893       0.00000
     -15.37793       0.00000
     -15.36793       0.00000
     -15.35793       0.00000
     -15.34793       0.00000
